Lower,Upper,Midpunkt,Bredde,Antall
4.75,5.25,5,0.5,
5.25,5.75,5.5,0.5,
5.75,6.25,6,0.5,
6.25,6.75,6.5,0.5,
6.75,7.25,7,0.5,
7.25,7.75,7.5,0.5,
7.75,8.25,8,0.5,
8.25,8.75,8.5,0.5,
8.75,9.25,9,0.5,
9.25,9.75,9.5,0.5,
9.75,10.25,10,0.5,
10.25,10.75,10.5,0.5,
10.75,11.25,11,0.5,
11.25,11.75,11.5,0.5,2
11.75,12.25,12,0.5,3
12.25,12.75,12.5,0.5,2
12.75,13.25,13,0.5,5
13.25,13.75,13.5,0.5,4
13.75,14.25,14,0.5,6
14.25,14.75,14.5,0.5,3
14.75,15.25,15,0.5,3
15.25,15.75,15.5,0.5,2
15.75,16.25,16,0.5,
16.25,16.75,16.5,0.5,
16.75,17.25,17,0.5,
17.25,17.75,17.5,0.5,
17.75,18.25,18,0.5,
18.25,18.75,18.5,0.5,
18.75,19.25,19,0.5,
19.25,19.75,19.5,0.5,
19.75,20.25,20,0.5,
20.25,20.75,20.5,0.5,
20.75,21.25,21,0.5,
21.25,21.75,21.5,0.5,
21.75,22.25,22,0.5,
22.25,22.75,22.5,0.5,
22.75,23.25,23,0.5,
23.25,23.75,23.5,0.5,
23.75,24.25,24,0.5,
24.25,24.75,24.5,0.5,
24.75,25.25,25,0.5,
25.25,25.75,25.5,0.5,
25.75,26.25,26,0.5,
26.25,26.75,26.5,0.5,
26.75,27.25,27,0.5,
27.25,27.75,27.5,0.5,
27.75,28.25,28,0.5,
28.25,28.75,28.5,0.5,
