Rosa/kvit,,,,,,,Rosa/Blå,,,,,,,Rosa/Grønn,,,
Start,Slutt,Økning,Median,,,,Start,Slutt,Økning,Median,,,,Start,Slutt,Økning,Median
3.5,10,,,,,,3.5,8,,,,,,3.7,10.7,,
3.7,12.5,,,,,,3.5,7.3,,,,,,3.5,10.5,,
3.6,11.5,,,,,,3.6,7.9,,,,,,3.6,10.8,,
3.3,12,,,,,,3.7,7.4,,,,,,3.5,11.5,,
3.6,12.5,,,,,,3.6,8.3,,,,,,3.5,10.9,,
3.6,11,,,,,,3.6,8.8,,,,,,3.5,11,,
3.5,11.2,,,,,,3.6,8.5,,,,,,3.5,12,,
3.4,11.3,,,,,,3.6,7.6,,,,,,3.7,11,,
3.6,11.7,,,,,,3.6,8.3,,,,,,3.6,10.6,,
3.5,11.6,,,,,,3.5,9.5,,,,,,3.7,10.4,,
3.6,12.7,,,,,,3.5,7.8,,,,,,3.4,11.2,,
3.5,12.5,,,,,,3.5,7.7,,,,,,3.5,11.6,,
3.4,12.2,,,,,,3.5,7.4,,,,,,3.6,10.4,,
3.4,12,,,,,,3.6,7.3,,,,,,3.7,10.9,,
3.3,11.9,,,,,,3.7,7.9,,,,,,3.8,11.1,,
3.5,11.6,,,,,,3.6,8.5,,,,,,3.7,10.5,,
3.6,12.5,,,,,,3.6,8.6,,,,,,3.8,1.4,,
3.5,12,,,,,,3.5,8,,,,,,3.6,10.6,,
3.7,10.8,,,,,,3.5,8.4,,,,,,3.6,11.1,,
3.6,11.5,,,,,,3.7,7.4,,,,,,3.5,10.3,,
3.6,11.7,,,,,,3.6,8,,,,,,3.5,10.8,,
3.5,12,,,,,,3.5,7.8,,,,,,3.6,11.5,,
3.6,13.4,,,,,,3.7,7.5,,,,,,3.7,11,,
3.6,12.4,,,,,,3.6,9.2,,,,,,3.6,11.6,,
3.6,11.8,,,,,,3.6,8.6,,,,,,3.5,11.2,,
3.4,12.3,,,,,,3.5,7.6,,,,,,3.6,10.9,,
3.5,11.5,,,,,,3.5,8.5,,,,,,3.6,11,,
3.6,12.3,,,,,,3.5,8,,,,,,3.5,10.5,,
3.6,12.8,,,,,,3.6,7.8,,,,,,3.5,10.5,,
